target,model,imputation_id,rmse,mae,nrmse,bias,da,rmse_rank_within_imputation,RMSE_mean,RMSE_min,RMSE_max,RMSE_std,MAE_mean,MAE_min,MAE_max,MAE_std,nRMSE_mean,nRMSE_min,nRMSE_max,nRMSE_std,Bias_mean,Bias_min,Bias_max,Bias_std,DA_mean,DA_min,DA_max,DA_std,headline_rmse,headline_mae,rank_min,rank_max,rank_stable_across_imputations,claim_stability_note
co2_emissions,LastValue,m1,75.19595606444906,18.179270153061225,0.18928343905935308,7.418152295918367,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,LastValue,m2,75.19595606444906,18.179270153061225,0.18928343905935308,7.418152295918367,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,LastValue,m3,75.19595606444906,18.179270153061225,0.18928343905935308,7.418152295918367,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,LastValue,m4,75.19595606444906,18.179270153061225,0.18928343905935308,7.418152295918367,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,LastValue,m5,75.19595606444906,18.179270153061225,0.18928343905935308,7.418152295918367,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MT-GRU,m1,1433.028382193824,374.3731770859401,3.582207983017471,321.88258925562064,46.05263157894737,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MT-GRU,m2,1433.0165418919298,374.3483401549266,3.5821783852617712,321.7433868365404,46.52255639097744,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MT-GRU,m3,1432.8855041353236,374.28933963056346,3.581850824060874,321.1775447458477,46.2406015037594,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MT-GRU,m4,1433.10493070708,374.32362972199917,3.5823993349116,322.1278926892612,47.18045112781955,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MT-GRU,m5,1433.0443155769713,374.28571559107843,3.5822478124395642,322.02712869610554,46.14661654135339,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MovingAverage3,m1,135.76658145041935,30.09909022108844,0.34175196102622263,18.04625637755102,39.285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MovingAverage3,m2,135.76658145041935,30.09909022108844,0.34175196102622263,18.04625637755102,39.285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MovingAverage3,m3,135.76658145041935,30.09909022108844,0.34175196102622263,18.04625637755102,39.285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MovingAverage3,m4,135.76658145041935,30.09909022108844,0.34175196102622263,18.04625637755102,39.285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,MovingAverage3,m5,135.76658145041935,30.09909022108844,0.34175196102622263,18.04625637755102,39.285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,RandomForest,m1,1051.3772065314618,246.6595974846939,2.646529199393708,104.63147471938774,48.97959183673469,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
co2_emissions,RandomForest,m2,969.6337784540208,236.54242730612245,2.4407644482448885,94.4473497244898,49.234693877551024,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
