Model,RMSE,MAE,MSE,MAPE,nRMSE,Bias,R2,DA
MT-GRU,3.656574159665413,2.804630092570656,16.20789297254462,363.6426340605083,0.9185408680062545,-0.6664498326711749,-0.374548243848901,64.1509854491037
ST-GRU,3.6407454745681904,2.7835274811206703,16.07683453445583,355.03906792632046,0.9129518871790877,-0.5831328234533936,-0.3609362252572086,64.28184799566976
ElasticNet,3.5274904839035512,2.802401226966322,15.999564939633695,357.6615427897526,0.9570433198224746,-1.3299462843654546,-0.5219835494270005,62.336012444905364
Ridge,3.529076786700012,2.8043517963133957,16.00322610385218,357.91902160136203,0.9576917663750769,-1.3298451706923564,-0.5231757627661598,62.43626307147178
RandomForest,3.3099175470857642,2.545793418443868,14.233943435720999,375.185592493836,0.9027385946491288,-1.0774466096211217,-0.34064223608654226,65.16982110448535
LastValue,3.896242230408234,2.793531663901132,18.756531178819916,251.3694037889395,1.1106644467119773,-1.5976085563909774,-1.0187767176786395,0.0
MovingAverage3,3.83728251522131,2.8856398792671336,18.186045362595856,347.5601330433927,1.0598015517415906,-0.8815838645752313,-0.8095650849127711,59.10033704952035
