analysis_type,model,target,lookback,horizon,include_eu,imputation_count,observed_target_only,RMSE,MAE,DA,n_eval,note
supplementary_lookback_sensitivity_m5,MT-GRU,co2_emissions,2,1,False,5,True,1414.9069812894807,376.0112079821135,46.015037593984964,5320,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,co2_emissions,3,1,False,5,True,1409.367809411748,374.3275750411184,46.597744360902254,5320,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,co2_emissions,4,1,False,5,True,1413.2713884960885,375.8886320415296,46.46616541353383,5320,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,co2_emissions,5,1,False,5,True,1413.944141373503,376.61548558285364,45.30075187969925,5320,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,gdp_growth,2,1,False,5,True,3.6568258158423785,2.8009351400987192,63.9889705882353,5440,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,gdp_growth,3,1,False,5,True,3.659122464016347,2.806584967366036,64.19117647058825,5440,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,gdp_growth,4,1,False,5,True,3.68108822279968,2.8240144450655755,63.30882352941176,5440,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
supplementary_lookback_sensitivity_m5,MT-GRU,gdp_growth,5,1,False,5,True,3.6347953855121022,2.770594702310422,64.2279411764706,5440,"Diagnostic only; primary specification remains lookback=3 (h=1, include_eu=False, warm_start=False, m=5)."
