model,target,imputation_mode,horizon,rmse_from_scratch,rmse_warm_start,delta_warm_minus_scratch
MT-GRU,co2_emissions,imputed,1,1459.753926537331,1457.6416040772144,-2.112322460116502
MT-GRU,co2_emissions,no_imputation,1,1500.4758782608078,1499.5754956516034,-0.900382609204371
MT-GRU,co2_emissions,imputed,2,1485.187114647747,1484.425402643667,-0.7617120040799819
MT-GRU,co2_emissions,no_imputation,2,1526.5730839513667,1526.5205233245206,-0.052560626846116065
MT-GRU,co2_emissions,imputed,3,1509.2182984238184,1506.0354982826093,-3.1828001412091
MT-GRU,co2_emissions,no_imputation,3,1551.8014565009757,1549.6166887745242,-2.1847677264515823
ST-GRU,co2_emissions,imputed,1,1459.9703132822042,1456.0660545382523,-3.904258743951914
ST-GRU,co2_emissions,no_imputation,1,1500.6618877914225,1498.5896806065305,-2.0722071848920223
ST-GRU,co2_emissions,imputed,2,1485.1152219847559,1484.6956711331566,-0.41955085159929695
ST-GRU,co2_emissions,no_imputation,2,1526.4910647914273,1526.5200786659377,0.029013874510383175
ST-GRU,co2_emissions,imputed,3,1509.3743567343315,1507.3941279545704,-1.9802287797610916
ST-GRU,co2_emissions,no_imputation,3,1551.9668126799977,1550.4259650539275,-1.5408476260702173
MT-GRU,gdp_growth,imputed,1,4.0721871922151465,4.312047914161949,0.23986072194680297
MT-GRU,gdp_growth,no_imputation,1,4.1039408325262094,4.314706671521609,0.2107658389953997
MT-GRU,gdp_growth,imputed,2,4.858642544492004,4.267892195408193,-0.5907503490838106
MT-GRU,gdp_growth,no_imputation,2,4.857152709828341,4.551583257929371,-0.30556945189897
MT-GRU,gdp_growth,imputed,3,4.786665945003226,4.308113706458805,-0.4785522385444212
MT-GRU,gdp_growth,no_imputation,3,4.866168641457622,4.650542697106887,-0.21562594435073557
ST-GRU,gdp_growth,imputed,1,4.707009749549419,4.1994428408129085,-0.5075669087365107
ST-GRU,gdp_growth,no_imputation,1,4.745754799401999,4.310414153156818,-0.435340646245181
ST-GRU,gdp_growth,imputed,2,4.701694352905312,4.3325431284727545,-0.36915122443255743
ST-GRU,gdp_growth,no_imputation,2,4.83268485981523,4.507707509734791,-0.32497735008043893
ST-GRU,gdp_growth,imputed,3,4.665287526130199,3.725996616530287,-0.939290909599912
ST-GRU,gdp_growth,no_imputation,3,4.781518198120213,3.773811437376253,-1.00770676074396
