Model,RMSE,MAE,MSE,MAPE,nRMSE,Bias,R2,DA
MT-GRU,1409.2332786886818,374.3240414268092,2053534.6986842104,342.07406198601973,3.491993826314023,321.7917139956826,-0.05938070447821358,46.42857142857142
ST-GRU,1428.3673157519618,398.3473492513507,2110006.6282604514,91.89878608382124,3.539279864595977,398.34733618906046,-0.08821395570219535,46.33458646616542
ElasticNet,1294.4889125943882,393.3832747504177,1758450.51701538,912.6500211354509,3.215438351025056,147.6180119758999,0.10153760583961799,56.224489795918366
Ridge,1294.4198614807956,393.1340292828739,1758232.6565813979,910.3897459489044,3.2152811853587306,147.44516508028315,0.10161876174362104,56.27551020408163
RandomForest,999.1673711179179,240.0805615857143,1008990.2507183842,168.89426395124525,2.53525011982122,102.07783954897957,0.39845904243632496,48.826530612244895
LastValue,66.69013535354128,18.179270153061225,5654.431808446554,5.343014113560064,0.1728168404699226,7.418152295918367,0.9960383496495794,0.0
MovingAverage3,122.8203000532234,30.099090221088424,18432.564638733344,7.241723184442734,0.3254214598150388,18.046256377551014,0.9853705929233451,39.28571428571428
