specification,target,rmse,mae,nrmse,bias,da
MT-GRU baseline,CO2,1409.2332786886818,374.3240414268092,3.491993826314023,321.7917139956826,46.42857142857142
MT-GRU baseline,GDP,3.656574159665413,2.804630092570656,0.9185408680062545,-0.6664498326711749,64.1509854491037
ST-GRU,CO2,1428.3673157519618,398.3473492513507,3.539279864595977,398.34733618906046,46.33458646616542
ST-GRU,GDP,3.6407454745681904,2.7835274811206703,0.9129518871790877,-0.5831328234533936,64.28184799566976
Shuffled secondary,CO2,1416.9835026066924,387.4266866048177,3.5119644006093345,386.0359395345052,51.19047619047619
Shuffled secondary,GDP,3.0678119906750667,2.3046738306681314,0.8689023852348328,0.03884653250376383,65.13409961685824
No policy dummies,CO2,1416.1271941706666,385.59682210286456,3.5100269317626953,382.6433919270833,50.595238095238095
No policy dummies,GDP,3.3219075048182063,2.57978622118632,0.9232646425565084,0.6220570305983225,66.29360758217383
